"name","imageUrl","area","profileUrl","office","tags","isLoggedUser","positionName","id","parentId","size"
"ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ - РЕКТОР",,,,,,,,1,,
"Проректор по академическим вопросам (член Правления)",,,,,,,,2,1,
"Департамент разработки академических программ и обеспечения качества",,,,,,,,3,2,
"Отдел разработки академических программ",,,,,,,,4,3,
"Отдел обеспечения академического качества",,,,,,,,5,3,
"Департамент по академическим вопросам",,,,,,,,6,2,
"Офис регистратора",,,,,,,,7,6,
"Отдел практики и карьеры",,,,,,,,8,6,
"Отдел по приему и профориентации",,,,,,,,9,6,
"Отдел организации учебного процесса",,,,,,,,10,6,
"Отдел дистанционного образования",,,,,,,,11,6,
"Центр повышения квалификации",,,,,,,,12,2,
"Проректор по инфраструктур- ному развитию (член Правления)",,,,,,,,13,1,
"Департамент управления активами",,,,,,,,14,13,
"Отдел развития инфраструктуры ",,,,,,,,15,14,
"Отдел по управлению недвижимостью",,,,,,,,16,14,
"Отдел сервиса и поддержки",,,,,,,,17,14,
"Департамент бухгалтерского учета и отчетности",,,,,,,,18,13,
"Склад ",,,,,,,,19,18,
"Планово-экономический отдел",,,,,,,,20,13,
"Отдел государственных закупок",,,,,,,,21,13,
"Проректор по научной работе и международному сотрудничеству (член Правления)",,,,,,,,22,1,
"Департамент науки",,,,,,,,23,22,
"Отдел послевузов- ского образования ",,,,,,,,24,23,
"Отдел научного администрирования и развития",,,,,,,,25,23,
"Центр раннего развития детей",,,,,,,,26,23,
"Центр развития сельского образования",,,,,,,,27,23,
"Центр образовательных измерений и оценок",,,,,,,,28,23,
"Центр социальных и гендерных исследований",,,,,,,,29,23,
"Отдел трансформации и управления рисками",,,,,,,,30,23,
"Отдел мониторинга науных изданий",,,,,,,,31,23,
"Отдел международного сотрудничества",,,,,,,,32,22,
"Библиотека",,,,,,,,33,22,
"Отдел комплектования, научной обработки и книгохранения",,,,,,,,34,33,
"Отдел обслуживания читателей, справочной библиографии и информации",,,,,,,,35,33,
"Отдел цифровых услуг",,,,,,,,36,33,
"Проректор по стратегическому развитию и социальной работе (член Правления)",,,,,,,,37,1,
"Департамент стратегического развития",,,,,,,,38,37,
"Центр женского лидерства и предприни-мательства",,,,,,,,39,38,
"Центр стратегического развития",,,,,,,,40,38,
"Департамент по формированию личности",,,,,,,,41,37,
"Центр воспитательной- социальной работы",,,,,,,,42,41,
"Центр неформального образования",,,,,,,,43,41,
"Отдел по делам молодежи",,,,,,,,44,41,
"Центр ментального здоровья",,,,,,,,45,41,
"Советник Ректора по финансово- экономическим вопросам",,,,,,,,46,1,
"Цифровой офицер",,,,,,,,47,1,
"Департамент цифрового развития",,,,,,,,48,47,
"Отдел системного администри- рования и технической поддержки",,,,,,,,49,48,
"Отдел сопровождения информационных систем",,,,,,,,50,48,
"Отдел программных разработок",,,,,,,,51,48,
"Советник Ректора по вопросам организационной трансформации - Руководитель аппарата",,,,,,,,52,1,
"Офис ректора",,,,,,,,53,52,
"Отдел трансфера технологии в образовании и коммерциализации",,,,,,,,54,52,
"Департамент юридического и документационного сопровождения",,,,,,,,55,52,
"Отдел документационного обеспечения и контроля",,,,,,,,56,55,
"Юридический отдел",,,,,,,,57,55,
"HR департамент",,,,,,,,58,52,
"Отдел рекрутинга и профессионального развития персонала",,,,,,,,59,58,
"Отдел кадрового администри-рования",,,,,,,,60,58,
"Департамент маркетинга и коммуникации",,,,,,,,61,52,
"Отдел маркетинга",,,,,,,,62,61,
"Издательский дом",,,,,,,,63,52,
